"Date","Start_Time","End_Time","What","Where"
20190405,1830,2200,"TFN","Cascade Room"
20190407,1300,1415,"SWS","Foege"
20190412,1830,2200,"TFN","Cascade Room"
20190414,1300,1415,"SWS","Foege"
20190419,1830,2200,"TFN","Cascade Room"
20190421,1300,1415,"SWS","Foege"
20190426,1830,2200,"TFN","Cascade Room"
20190428,1300,1415,"SWS","Foege"
20190503,1830,2200,"TFN","Cascade Room"
20190505,1300,1415,"SWS","Foege"
20190510,1830,2200,"TFN","Cascade Room"
20190512,1300,1415,"SWS","Foege"
20190517,1830,2200,"TFN","Cascade Room"
20190519,1300,1415,"SWS","Foege"
20190524,1830,2200,"TFN","Cascade Room"
20190526,1300,1415,"SWS","Foege"
20190531,1830,2200,"TFN","Cascade Room"
20190602,1300,1415,"SWS","Foege"
20190607,1830,2200,"TFN","Cascade Room"
20190609,1300,1415,"SWS","Foege"
20190614,1830,2200,"TFN","Cascade Room"
20190616,1300,1415,"SWS","Foege"
